8/1/07,17:10:00,8/1/07,17:13:00,0.13
8/1/07,17:10:00,8/1/07,17:15:00,0.0866667
8/1/07,17:10:00,8/1/07,17:21:00,0.227667
8/1/07,17:10:00,8/1/07,17:23:00,0.256857
8/1/07,17:10:00,8/1/07,17:27:00,0.224444
8/1/07,17:10:00,8/1/07,17:28:00,0.218632
8/1/07,17:10:00,8/1/07,17:29:00,0.2131
8/1/07,17:10:00,8/1/07,17:30:00,0.208
8/1/07,17:10:00,8/1/07,17:31:00,0.203182
8/1/07,17:10:00,8/1/07,17:35:00,0.191462
8/1/07,17:10:00,8/1/07,17:45:00,0.162778
8/1/07,17:10:00,8/1/07,17:52:00,0.156884
8/1/07,17:10:00,8/1/07,17:54:00,0.155778
8/1/07,17:10:00,8/1/07,17:58:00,0.143061
8/1/07,17:10:00,8/1/07,17:59:00,0.1402
8/1/07,17:10:00,8/1/07,18:05:00,0.143393
8/1/07,17:10:00,8/1/07,18:07:00,0.15369
8/1/07,17:10:00,8/1/07,18:08:00,0.158576
8/1/07,17:10:00,8/1/07,18:13:00,0.177156
8/1/07,17:10:00,8/1/07,18:15:00,0.174818
8/1/07,17:10:00,8/1/07,18:19:00,0.1702
8/1/07,17:10:00,8/1/07,18:20:00,0.168986
8/1/07,17:10:00,8/1/07,18:22:00,0.167753
8/1/07,17:10:00,8/1/07,18:23:00,0.16727
8/1/07,17:10:00,8/1/07,18:25:00,0.166316
8/1/07,17:10:00,8/1/07,18:27:00,0.165385
8/1/07,17:10:00,8/1/07,18:30:00,0.164123
8/1/07,17:10:00,8/1/07,18:32:00,0.165325
8/1/07,17:10:00,8/1/07,18:38:00,0.168449
8/1/07,17:10:00,8/1/07,18:41:00,0.17213
8/1/07,17:10:00,8/1/07,18:42:00,0.173204
8/1/07,17:10:00,8/1/07,18:45:00,0.175958
8/1/07,17:10:00,8/1/07,18:49:00,0.17904
8/1/07,17:10:00,8/1/07,18:50:00,0.179743
8/1/07,17:10:00,8/1/07,18:56:00,0.18871
8/1/07,17:10:00,8/1/07,19:14:00,0.227872
8/1/07,17:10:00,8/1/07,19:18:00,0.238248
8/1/07,17:10:00,8/1/07,19:19:00,0.239615
8/1/07,17:10:00,8/1/07,19:23:00,0.244299
8/1/07,17:10:00,8/1/07,19:34:00,0.254041
8/1/07,17:10:00,8/1/07,19:35:00,0.255986
8/1/07,17:10:00,8/1/07,19:37:00,0.259838
8/1/07,17:10:00,8/1/07,19:38:00,0.260899
8/1/07,17:10:00,8/1/07,19:42:00,0.265137
